"accept","接受"
"accepted","已接受"
"action","操作"
"action_pending","等待處理"
"address","地址"
"address:","地址：{{address}}"
"cancel","取消"
"change_password","修改密碼"
"change_password_email_sent","重置密碼郵件已發送，請查看收件箱，並按照提示來修改你的密碼。"
"check_recaptcha","檢查驗證碼"
"city","城市"
"confirm_email_to_continue","請查看你的郵件{{email}} 收件箱中的郵件，並確認你的電子郵件地址以繼續發布信息。錯誤的電子郵件？請進入設置> 編輯資料更新你的電子郵件。"
"confirm_new_password","確認新密碼"
"country","國家"
"create_account","創建賬戶"
"create_account_text","通過點擊創建帳戶，即表示你同意我們的<a href=/terms>使用條款</a>和<a href=/privacy>隱私政策</a>。你可以提供更多的用戶資料，以便我們更好的為你服務。請你查看設置已獲得更多信息。"
"current_password","當前密碼"
"game","微名片"
"date","日期"
"days","天"
"deny","拒絕"
"description","詳細描述"
"description:","詳細描述: {{description}}"
"details","詳細信息"
"earnings","收入"
"edit_profile","編輯名片"
"email","郵箱"
"email_link:","郵箱：<a href=mailto:{{email}}>{{email}}</a>"
"email:","郵箱：{{email}}"
"email_accepted_title","請求已接受"
"email_changed","電子郵箱已更改，請查看收件箱，並確認新的郵箱地址。"
"email_game","微名片"
"email_footer","如果你有任何問題關於微名片，請發郵件至："
"email_forgot_password_body","需要幫助重置密碼？這是很容易的，你只需點擊下面的鏈接。"
"email_forgot_password_link","重置密碼"
"email_hello","你好 {{name}}，"
"email_request_link","查看請求"
"email_request_pending","你有一個新請求有待批准。"
"email_request_title","你有一個新請求"
"email_reset_password_title","重置密碼"
"email_thank_you","謝謝,"
"email_verify_email_body","感謝你註冊微名片，請使用下面的鏈接確認電子郵件地址，此鏈接僅有效一次。"
"email_verify_email_link","確認郵箱地址"
"email_verify_email_title","確認郵箱地址"
"forgot_password","忘記密碼?"
"forgot_password_text","輸入你註冊微名片帳戶的電子郵件地址，我們會提供你更改密碼的進一步指示。"
"full_name","姓名"
"hours","小時"
"how_does_it_work","如何使用微名片?"
"how_does_it_work_step_1","1. 創建信息"
"how_does_it_work_step_1_text","創建郵寄或行程並尋找對應信息。"
"how_does_it_work_step_2","2. 發送請求"
"how_does_it_work_step_2_text","發送請求，對方自動收到通知。"
"how_does_it_work_step_3","3. 接受&交貨"
"how_does_it_work_step_3_text","見面，發貨人交付貨物。"
"how_does_it_work_step_4","4. 旅行開始"
"how_does_it_work_step_4_text","行程開始，前往目的地。"
"how_does_it_work_step_5","5. 見收貨人"
"how_does_it_work_step_5_text","到達，收貨人掃描貨物到達二維碼。"
"how_does_it_work_step_6","6. 貨物到達"
"how_does_it_work_step_6_text","貨物確認收到，並自動完成付款。"
"inbox","收到"
"language","語言"
"login","登錄"
"logout","退出"
"months","月"
"my_content","我的內容"
"new_password","新密碼"
"new_password_saved","新密碼設置成功!"
"next","下一頁"
"no_request_found","未發現請求"
"ok","確定"
"or","或者"
"password","密碼"
"past","過去"
"pending","當前"
"phone","電話"
"phone:","電話：{{phone}}"
"postal_code","郵編"
"previous","上一頁"
"print","打印"
"profile_updated","資料更新成功！"
"request","請求"
"requested","請求已發送"
"requested_email_sent","請求郵件已發送，請等待對方處理。"
"reset_password","重設密碼"
"save","提交"
"sent","發送"
"settings","設置"
"sign_up","註冊"
"submit","提交"
"thank_you","謝謝!"
"type","類型"
"update_your_email","更新你的郵箱地址。 請進入設置> 編輯資料更新你的電子郵件。"
"username","用戶名"
"what_is_game","什麼是微名片?"
"what_is_game_text","基於微信的個性化名片，使你脫穎而出，更好的記住新朋友，拓展高質量的人脈資源。"
"you_are_not_authorized","你未被授權查看該頁面"
"placeholder_username","用戶名(字母、數字以及_ )"
"matched_later","其他人會匹配到該信息"
"terms","條款"
"privacy","隱私"
"contact","聯繫方式"
"about","關於我們"
"dashboard","賬戶設置"
"gender_male","男"
"gender_female","女"
"gender_other","其他"
"month_January","一月"
"month_February","二月"
"month_March","三月"
"month_April","四月"
"month_May","五月"
"month_June","六月"
"month_July","七月"
"month_August","八月"
"month_September","九月"
"month_October","十月"
"month_November","十一月"
"month_December","十二月"
"verification","社交網絡"
"feedback","用戶評價"
"avatar","頭像"
"description_edit_profile","微名片建立在信任的基礎上，請準確填寫以下信息。"
"gender","性別"
"birthday","生日"
"describe_yourself","自我概述"
"help_analysis","我們用該數據進行統計分析，並不會洩露給其他用戶。"
"help_request_accepted","只有交易請求接受後才分享給另一用戶。"
"help_describe_yourself","個性化的介紹一下你自己，從事什麼工作，在哪裡上學，有什麼方面的經驗，目前狀態，有什麼需求，想交什麼樣的朋友。<br>該介紹將會顯示在微信分享裡。"
"description_verification","請驗證以下信息，讓你的微名片更充實。"
"email_address","電子郵箱"
"you_have_confirmed_your_email","你已經確認了電子郵箱: <strong>{{email}}</strong>。 我們將通過該郵箱與你聯繫。"
"phone_number","電話號碼"
"disconnect","關閉連接"
"connect","連接"
"connect_facebook","連接Facebook，讓你的微名片內容更豐富真實。"
"connect_linkedin","你可以與世界上最大的專業網絡LinkedIn連接，你的微名片即刻變成微簡歷。"
"phone_verified","Rest assured, your number is only shared with another card member once you have a confirmed request."
"rating:","用戶評級: "
"feedback:","用戶評價: "
"province","省/州"
"member_since","於{{year}}年{{month}}加入card"
"verified_ID","驗證信息"
"verified","已驗證"
"not_verified","未驗證"
"feedback_none","用戶評價: none"
"feedback:","用戶評價: {{percent}}% 好評"
"leave_feedback","用戶評價"
"on_date","於 {{date}}"
"show_more","更多"
"no_feedback","無用戶評論"
"status","狀態"
"complete","完成"
"email_feedback_title","用戶評價"
