"accept","Accept"
"accepted","Accepted"
"accepted_kagos","Accepted Kagos"
"action","Action"
"action_pending","Pending"
"address","Address"
"address:","Address: {{address}}"
"air","Air"
"cancel","Cancel"
"carry_kago","Carry Kago"
"carry_kago_text","Get paid wherever you go!"
"change_password","Change Password"
"change_password_email_sent","An email has been sent to you providing instructions to change your password."
"check_recaptcha","Check Recaptcha"
"city","City"
"confirm_email_to_continue","Please check your email inbox at <strong>{{email}}</strong> and confrim the email address to continue. Wrong email? Please go to Dashboard > Edit Profile to update your email."
"confirm_new_password","Confirm new password"
"content","Content"
"content:","Content: {{content}}"
"cost","Cost"
"country","Country"
"create_account","Create Account"
"create_account_text","By clicking on Create Account, you are agreeing to the <a href=/terms>Terms of Use</a> and the <a href=/privacy>Privacy Policy</a>. You can provide more user details for us to serve you better. Please see your Settings for more info."
"create_new","Create New"
"create_one","Create one"
"create_kago","Create Kago"
"create_trip","Create Trip"
"currency_AUD","AUD $"
"currency_CAD","CAD $"
"currency_CHF","CHF Fr"
"currency_CNY","CNY ¥"
"currency_EUR","EUR €"
"currency_GBP","GBP £"
"currency_HKD","HKD $"
"currency_INR","INR ₹"
"currency_JPY","JPY ¥"
"currency_KRW","KRW ₩"
"currency_NZD","NZD $"
"currency_RUB","RUB ₽"
"currency_SEK","SEK kr"
"currency_TWD","TWD $"
"currency_USD","USD $"
"current_password","Current password"
"wcard","wcard.co"
"date","Date"
"days","Days"
"deny","Deny"
"departure_date","Departure date"
"departure_date:","Departure date: {{date}}"
"description","Description"
"description:","Description: {{description}}"
"details","Details"
"dimension","Dimension"
"duration","Duration"
"duration_hours","one","%d hour"
"duration_hours","other","%d hours"
"duration_days","one","%d day"
"duration_days","other","%d days"
"duration_months","one","%d month"
"duration_months","other","%d months"
"earnings","Earnings"
"edit_profile","Edit Profile"
"email","Email"
"email:","Email: {{email}}"
"email_accepted_body","The request has been accepted. Here is the detail for the request. Please contact the person to continue and make sure the kago is legal."
"email_accepted_kago_detail","Content {{content}} offers {{offer}} from {{from}} to {{to}}"
"email_accepted_title","Request accepted"
"email_accepted_trip_detail","From {{from}} to {{to}} on {{date}} by {{travel_by}}"
"email_changed","Your email has been changed. We'll send an email for account confirmation."
"email_wcard","wcard team"
"email_footer","If you have any questions about your account, please contact us at "
"email_for_kago","For kago:"
"email_for_trip","For trip:"
"email_forgot_password_body","Need help resetting your password? That's easy enough, just click the link below."
"email_forgot_password_link","Click here to reset password"
"email_hello","Hello {{name}},"
"email_request_link","Click here to check the request"
"email_request_kago_body","Content {{content}} offers {{offer}} from {{from}} to {{to}}. To accept or deny the kago request, please click the following link."
"email_request_pending","You have a new request pending."
"email_request_title","You have a new request"
"email_request_trip_body","From {{from}} to {{to}} on {{date}} by {{travel_by}}. To accept or deny the trip request, please click the following link."
"email_reset_password_title","Reset your password"
"email_thank_you","Thank you,"
